관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
31110-50001,두리공원,소공원,울산광역시 중구 교동 60,울산광역시 중구 교동 60,35.564421,129.315853,2100,,,,,,2015-08-10,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-50001,도담공원,소공원,울산광역시 중구 교동 131,울산광역시 중구 교동 131,35.56394157,129.3142657,6628,,,,,,2014-12-01,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-30003,98공원,역사공원,울산광역시 중구 기상대길 4-1 (북정동),울산광역시 중구 북정동 324-9,35.55936969,129.3197576,36879,,,,,,2007-08-23,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-50001,다므기공원,소공원,울산광역시 중구 약사동 533,울산광역시 중구 약사동 533,35.574105,129.337747,1239,,,,,,2011-12-07,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-50001,황새골공원,소공원,울산광역시 중구 북정동 154-1,울산광역시 중구 북정동 154-1,35.562411,129.320993,3794,,,,,,2010-12-05,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-50001,혁신휴공원,소공원,울산광역시 중구 우정동482-2,울산광역시 중구 우정동482-2,35.563851,129.313169,3566,,,,,,2010-12-05,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-50001,유정공원,소공원,울산광역시 중구 약사동 851-4,울산광역시 중구 약사동 851-4,35.572854,129.334609,715.1,,,,,,2010-12-05,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-50001,다소아공원,소공원,울산광역시 중구 복산동 220-5,울산광역시 중구 복산동 220-5,35.565267,129.328881,1145,,,,,,2008-12-02,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-50001,약사제당공원,소공원,울산광역시 중구 약사동 790,울산광역시 중구 약사동 790,35.570933,129.333014,5191,,,,,,2010-12-05,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-50001,송림공원,소공원,울산광역시 중구 복산동 237,울산광역시 중구 복산동 237,35.568011,129.328987,1608.1,,,,,,2007-09-03,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-60001,서원공원,어린이공원,울산광역시 중구 반구동 677,울산광역시 중구 반구동 643-10,35.556366,129.346088,3602.4,,,,,,2009-09-10,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-60001,어린이공원,어린이공원,울산광역시 중구 약사동 845-2,울산광역시 중구 약사동 845-2,35.573958,129.336065,1500,,,,,,2010-12-15,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
29200-00136,역산,어린이공원,,광주광역시 광산구 산정동 1121,35.170097,126.800394,2206.7,,,,,,2004-04-12,광주광역시 광산구,062-960-8712,2021-09-06,6290000,광주광역시
29200-00137,북두칠성,어린이공원,,광주광역시 광산구 선암동 713,35.147605,126.771664,1639.6,,,,,,2009-07-15,광주광역시 광산구,062-960-8712,2021-09-06,6290000,광주광역시
29200-00138,우주,어린이공원,,광주광역시 광산구 선암동 637,35.146378,126.775354,1509.1,,,,,,2006-05-29,광주광역시 광산구,062-960-8712,2021-09-06,6290000,광주광역시
29200-00139,무지개,어린이공원,,광주광역시 광산구 선암동 542,35.14657834,126.7786204,1585,,,,,,2006-05-29,광주광역시 광산구,062-960-8712,2021-09-06,6290000,광주광역시
29200-00140,풍물,어린이공원,,광주광역시 광산구 선암동 550,35.150298,126.776147,3388.5,,,,,,2006-05-29,광주광역시 광산구,062-960-8712,2021-09-06,6290000,광주광역시
29200-00141,도산,어린이공원,,광주광역시 광산구 도산동 1318,,,1591,,,,,,1992-08-06,광주광역시 광산구,062-960-8712,2021-09-06,6290000,광주광역시
29200-00142,한밭,어린이공원,,광주광역시 광산구 하남동 1027,,,1523.7,,,,,,2007-02-01,광주광역시 광산구,062-960-8712,2021-09-06,6290000,광주광역시
29200-00143,검바우,어린이공원,,광주광역시 광산구 하남동 1157,,,1498.3,,,,,,2007-02-01,광주광역시 광산구,062-960-8712,2021-09-06,6290000,광주광역시
31110-10001,구름공원,근린공원,울산광역시 중구 구루미9길 37-1 (다운동),울산광역시 중구 다운동 604-1,35.556339,129.271792,12644.3,,,,,,1989-08-26,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10002,서덕출공원,근린공원,울산광역시 중구 푸름4길 27 (복산동),울산광역시 중구 복산1동 600,35.56077842,129.3243065,23802,,,,,,2003-10-02,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10003,학성공원,근린공원,울산광역시 중구 학성공원3길 54 (학성동),울산광역시 중구 학성동 73,35.5544614,129.3393135,56606,,,,,,1962-05-14,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10004,장현공원,근린공원,울산광역시 중구 장현동 127,울산광역시 중구 장현동 127,35.588171,129.344192,36663.9,,,,,,2007-09-03,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10005,새이골공원,근린공원,울산광역시 중구 달빛로 65-23 (약사동),울산광역시 중구 약사동 397-1,35.58221101,129.3339044,188626,,,,,,2007-09-03,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10006,달빛공원,근린공원,울산광역시 중구 북정동 194-1,울산광역시 중구 북정동 194-1,35.564201,129.323038,35186,,,,,,2007-09-03,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10007,소바우공원,근린공원,울산광역시 중구 교동 39,울산광역시 중구 교동 39,35.567239,129.315345,31991,,,,,,2007-09-03,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10008,공룡발자국공원,근린공원,울산광역시 중구 유곡동 54-3,울산광역시 중구 유곡동 54-3,35.562665,129.305909,30950,,,,,,2007-09-03,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10009,유곡호국공원,근린공원,울산광역시 중구 유곡동 218-1,울산광역시 중구 유곡동 218-1,35.561036,129.299787,14732.7,,,,,,2007-09-03,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10010,불선골공원,근린공원,울산광역시 중구 유곡동 200-2,울산광역시 중구 유곡동 200-2,35.560569,129.301873,35499.7,,,,,,2007-09-03,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10011,정터골공원,근린공원,울산광역시 중구 태화동 228,울산광역시 중구 태화동 228,35.559012,129.296492,24206,,,,,,2010-12-15,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10012,예술공원,근린공원,울산광역시 중구 성안동 270-1,울산광역시 중구 성안동 270-1,35.567354,129.320205,41034,,,,,,2010-12-15,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10013,태화근린공원,근린공원,울산광역시 중구 태화동 산35,울산광역시 중구 태화동 산 35,35.555884,129.297891,331000,,,,,,1962-05-14,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10014,함월근린공원,근린공원,울산광역시 중구 종가로 405-53 (성안동),울산광역시 중구 성안동 산139,35.570962,129.3183746,1076358,,,,,,2004-12-02,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10015,장무공원,근린공원,울산광역시 중구 학성동 387,울산광역시 중구 학성동 387,35.558653,129.335661,126000,,,,,,1992-02-29,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10016,무지공원,근린공원,울산광역시 중구 우정동 산28,울산광역시 중구 우정동 산28,35.568589,129.308997,731902,,,,,,2004-12-02,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10017,다운공원,근린공원,울산광역시 중구 다운동 산106,울산광역시 중구 다운동 산106,35.56483798,129.279153,28796,,,,,,2004-12-09,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-10018,110공원,근린공원,울산광역시 중구 다운동 산61,울산광역시 중구 다운동 산61,35.573298,129.267819,18607,,,,,,2009-12-28,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-20001,체육공원,체육공원,울산광역시 중구 다운동 산31,울산광역시 중구 다운동 산31,35.579946,129.268035,23422,,,,,,2009-12-31,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
31110-30001,태화루공원,역사공원,울산광역시 중구 태화로 300 (태화동),울산광역시 중구 태화동 91-2,35.55338553,129.3076463,10059,,,,,,2008-05-15,울산광역시 중구청,052-290-4420,2021-08-27,3690000,울산광역시 중구
44270-00077,공원:602(송악:제1호공원),어린이공원,,충청남도 당진시 송악읍 기지시리 502,36.90011018,126.690048,2702,,,,,,2011-07-20,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
41360-00047,장현4어린이공원,어린이공원,,경기도 남양주시 진접읍 장현리 90-2,37.7308371,127.1925026,1560,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00048,묵현2지구도시공사어린이공원,어린이공원,,경기도 남양주시 화도읍 묵현리 95-8,37.6628496,127.2967637,1585,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00049,부평1어린이공원,어린이공원,,경기도 남양주시 진접읍 부평리 755,37.7414387,127.199637,1586,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00050,마석제3호어린이공원(물놀이장),어린이공원,,경기도 남양주시 화도읍 마석우리 568,37.6557032,127.2995458,1610,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00051,이안어린이공원,어린이공원,,"경기도 남양주시 화도읍 창현리 645-19, 645-24, 642-7, 644-4",37.64212256,127.3038376,1675,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00052,마석제2호어린이공원,어린이공원,,경기도 남양주시 화도읍 마석우리 356,37.6592161,127.3041157,1687,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00053,별내택지어린이공원2,어린이공원,,경기도 남양주시 별내동 838-9,37.6660172,127.1153041,1694,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00054,호평1호공원,어린이공원,,경기도 남양주시 호평동 614,37.6610823,127.2438936,1730,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00055,청학3호공원,어린이공원,,경기도 남양주시 별내면 청학리 409-4,37.7086741,127.1178923,1741,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
11350-00126,오장골,마을마당,한글비석로,상계5 445-2,37.6630485,127.0668825,99,,,,,,,,,2021-09-13,3100000,서울특별시 노원구
41360-00056,덕소4호공원,어린이공원,경기도 남양주시 와부읍 덕소로97번길 34,경기도 남양주시 와부읍 덕소리 110-2,37.5859681,127.2166206,1750,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00057,금곡물놀이장,어린이공원,경기도 남양주시 석실로 716-20,경기도 남양주시 금곡동 656,37.6256228,127.2021588,1762,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00058,임광그대가 어린이공원,어린이공원,,경기도 남양주시 호평동 264-1,37.6628369,127.2493213,1811,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00059,평내1호공원,어린이공원,,경기도 남양주시 평내동 585-4,37.6470343,127.2367724,1866,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00060,진건물놀이장,어린이공원,,경기도 남양주시 진건읍 사능리 645-7,37.6551243,127.1801042,1905,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00061,장현3어린이공원,어린이공원,,경기도 남양주시 진접읍 장현리 710-2,37.726114,127.1937654,1900,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00062,호평제3호어린이공원,어린이공원,,경기도 남양주시 호평동 627-1,37.6555116,127.2416723,1955,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00063,장현3어린이공원,어린이공원,,경기도 남양주시 진접읍 장현리 710-6,37.7232914,127.1927287,2021,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00064,호평제2호어린이공원,어린이공원,,경기도 남양주시 호평동 675,37.6566311,127.2492461,1968,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00065,별내택지어린이공원6,어린이공원,,경기도 남양주시 별내동 1092,37.6510798,127.1144787,1989,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00066,창현제3호어린이공원,어린이공원,경기도 남양주시 화도읍 수레로 1234-24,경기도 남양주시 화도읍 창현리 750,37.6474158,127.3045481,2000,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00067,창현제6호어린이공원,어린이공원,,경기도 남양주시 화도읍 창현리 770,37.6444888,127.3005839,2001,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00068,창현제5호어린이공원,어린이공원,,경기도 남양주시 화도읍 창현리 763,37.6461113,127.2988818,2038,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00069,덕소5호공원,어린이공원,,경기도 남양주시 와부읍 덕소리 111-4,37.5850955,127.2128954,2050,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00070,진접5호아쿠아키즈파크,어린이공원,,경기도 남양주시 진접읍 금곡리 1037-18,37.719012,127.2016274,2157,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00071,어린이공원,어린이공원,,경기도 남양주시 퇴계원읍 퇴계원리 369-7,37.65969695,127.1439218,2208,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00072,창현제4호어린이공원,어린이공원,,경기도 남양주시 화도읍 창현리 756,37.6488619,127.3013676,2204,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00073,어린이공원,어린이공원,,경기도 남양주시 퇴계원면 퇴계원리 366-1,37.6578988,127.146679,2354,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00074,부영7단지 어린이공원,어린이공원,,경기도 남양주시 다산동 4435-8,37.6100857,127.1548709,2437,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00018,소공원/129,소공원,,경기도 남양주시 진접읍 장현리 산25-1,37.73126747,127.187333,5733,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00019,경성큰마을소공원,소공원,,경기도 남양주시 화도읍 묵현리 604-14(604-15),37.653421,127.268018,4004,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00020,월산리4지구소공원,소공원,,경기도 남양주시 화도읍 월산리 1527-4,37.651867,127.336242,190,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00021,소공원/393,소공원,,경기도 남양주시 화도읍 창현리 778-4,37.64481853,127.306534,822,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00022,다산지금 소공원 1호,소공원,,경기도 남양주시 다산동 6106,37.621009,,7042,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00023,다산지금 소공원 2호,소공원,,경기도 남양주시 다산동 6192-2,37.609738,127.166662,865,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00024,다산지금 소공원 3호,소공원,,"경기도 남양주시 다산동 6196-1,6196-2",,127.170375,2867,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00025,다산지금 소공원 4호,소공원,,경기도 남양주시 다산동 6230-1,37.602041,127.167069,9164,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00026,녹촌제1호소공원,소공원,,경기도 남양주시 화도읍 녹촌리 576,37.650948,127.297765,1228,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00027,퇴계3호공원,어린이공원,,경기도 남양주시 퇴계원면 퇴계원리 259-8,37.651283,127.142909,1414,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00028,도농 제2호공원,어린이공원,경기도 남양주시 도농로 34,경기도 남양주시 다산동 4002-16,37.6110195684,127.1562290671,1500,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00029,도농 제3호공원,어린이공원,경기도 남양주시 도농로 34,"경기도 남양주시 다산동 4002-33,4002-34,4002-35,4002-36",37.6110195684,127.1562290671,1500,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00030,청학6호공원,어린이공원,,경기도 남양주시 별내면 청학리 475,37.7090457,127.1138874,1463,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00031,덕소3호공원,어린이공원,경기도 남양주시 와부읍 덕소로 33,경기도 남양주시 와부읍 덕소리 606-15,37.588254,127.2097691,1500,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00032,도농 제1호공원,어린이공원,경기도 남양주시 도농로 34,"경기도 남양주시 다산동 4002-27,4002-28",37.61102092,127.1562274,1500,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00033,진접물놀이장,어린이공원,,경기도 남양주시 진접읍 장현리 677-2,37.7151558,127.1816603,1509,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00034,평내3호공원,어린이공원,,경기도 남양주시 평내동 566,37.643211,127.234748,1500,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00035,어린이공원,어린이공원,,경기도 남양주시 호평동 산65-16,37.6626756,127.2401904,1500,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00036,덕소2호공원,어린이공원,경기도 남양주시 와부읍 덕소로2번길 39,경기도 남양주시 와부읍 덕소리 600-31,37.585772,127.2074266,1501,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00037,청학2호공원,어린이공원,,경기도 남양주시 별내면 청학리 419-3,37.7095123,127.1157888,1503,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00038,도곡2호공원,어린이공원,,경기도 남양주시 와부읍 도곡리 1092,37.5762227,127.2244804,1503,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00039,창현제2호어린이공원,어린이공원,,경기도 남양주시 화도읍 창현리 744,37.6495911,127.303723,1503,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00040,양지어린이공원,어린이공원,,경기도 남양주시 오남읍 양지리 807-5,37.6987771,127.1989011,1507,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00041,평내5호공원,어린이공원,,경기도 남양주시 평내동 617-5,37.6400366,127.2361973,1510,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00042,오남1지구 오남아이파크어린이공원,어린이공원,,경기도 남양주시 오남읍 오남리 891-5,37.6966072,127.2012855,1524,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00043,마석제1호어린이공원,어린이공원,,경기도 남양주시 화도읍 마석우리 346,37.6594934,127.3028068,1530,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00044,청학5호공원,어린이공원,,경기도 남양주시 별내면 청학리 350-4,37.7112326,127.1145394,1545,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00045,진접4호솔빛공원,어린이공원,,경기도 남양주시 진접읍 금곡리 1054-4,37.7164475,127.2028681,1538,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
41360-00046,신도어린이공원,어린이공원,,경기도 남양주시 화도읍 마석우리 598-2,37.6604736,127.3056214,1552,,,,,,,경기도 남양주시청,031-590-8601,2021-08-31,3990000,경기도 남양주시
11260-00002,봉화산근린공원,근린공원,,서울특별시 중랑구 묵동 산 46-1,37.60823987,127.0841101,977500,,,,,,,서울특별시 중랑구청,02-2094-2364,2020-11-12,3060000,서울특별시 중랑구
47850-00041,왜관3공단-2호공원,소공원,-,경상북도 칠곡군 왜관읍 낙산리 1115,35.9300700,128.4222800,3947,-,-,주차장,-,-,2012-12-27,칠곡군,054-979-6832,2020-07-16,5220000,경상북도 칠곡군
47850-00042,왜관3공단-3호공원,소공원,-,경상북도 칠곡군 왜관읍 낙산리 1066,35.9267400,128.4171000,6334,-,-,-,-,-,2012-12-27,칠곡군,054-979-6832,2020-07-16,5220000,경상북도 칠곡군
47850-00043,왜관3공단-4호공원,근린공원,-,경상북도 칠곡군 왜관읍 낙산리 1162-2,35.9247800,128.4194400,10116,배드민턴장 2개소,-,"화장실, 주차장",-,-,2012-12-27,칠곡군,054-979-6832,2020-07-16,5220000,경상북도 칠곡군
47850-00044,중리3공단소공원,소공원,-,경상북도 칠곡군 석적읍 중리 443-9,36.0807600,128.4035700,1038,-,-,-,-,-,2018-06-07,칠곡군,054-979-6832,2020-07-16,5220000,경상북도 칠곡군
47850-00045,송림공원,수변공원,-,경상북도 칠곡군 동명면 구덕리 415,35.9839280,128.5678420,494957,,,,,,2009-10-08,칠곡군,054-979-5390,2020-07-16,5220000,경상북도 칠곡군
11380-00075,신사마을마당,기타공원,,서울특별시 은평구 불광1 247,37.5943850000,126.9086430000,203.00,"하늘걷기1,마라톤운동1,온몸근육풀기1","조합놀이대1,흔들놀이2",,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000,서울특별시 은평구
11380-00076,대조마을마당,기타공원,,서울특별시 은평구 대조 48-42,37.6413420000,126.9422280000,183.50,"온몸역기올리기1,온몸근육풀기1",,,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000,서울특별시 은평구
11380-00077,자투리(녹번)마을마당,기타공원,,서울특별시 은평구 녹번 103-23,37.5995520000,126.9155510000,165.00,"로라마사지기머신1,오버헤드폴리머신1",,,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000,서울특별시 은평구
11380-00078,자투리(신사)마을마당,기타공원,,서울특별시 은평구 신사2 300-153,37.6182670000,126.9328120000,236.00,허리돌리기2,,,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000,서울특별시 은평구
11380-00079,불광동마을마당,기타공원,,서울특별시 은평구 불광 331-106,37.6182670000,126.9328120000,324.00,"온몸돌리기1,온몸밀어올리기1",,,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000,서울특별시 은평구
11380-00080,역촌동마을마당,기타공원,,서울특별시 은평구 역촌 2-108,37.6192340000,126.9361280000,230.10,"온몸근육풀기1,온몸역기올리기1,옆파도타기1",,,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000,서울특별시 은평구
11380-00081,갈현동마을마당,기타공원,,서울특별시 은평구 갈현 526-6,37.6192340000,126.9361280000,249.90,"하늘걷기1,온몸허리돌리기1",,,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000,서울특별시 은평구
11380-00082,신사2동마을마당,기타공원,,서울특별시 은평구 신사 200-170,37.6122700000,126.9392870000,175.00,"허리돌리기2,공중걷기1,상체근육풀기1",,,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000,서울특별시 은평구
11380-00083,역촌2동마을마당,기타공원,,서울특별시 은평구 역촌2 62-21,37.6169030000,126.9289720000,395.70,,"유아용조합놀이대1,네트놀이대1, 석탑2,돌기둥3, 모래놀이터1","지압발판1,꽃담,음수대1",,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000,서울특별시 은평구
41630-00044,가석제2어린이공원,어린이공원,,경기도 양주시 광적면 가납리862-5,37.82194464,126.9853229,2743,,조합놀이대,"등벤치, 파고라",,,2006-05-01,양주시 공원사업과,031-8082-7311,2021-05-10,5590000,경기도 양주시
29200-00054,가온,어린이공원,,광주광역시 광산구 신가동 961-2(신가지구),35.185762,126.832012,2302.4,다목적운동장,"그네, 조합놀이, 기타놀이기구",,,,1996-10-25,광주광역시 광산구청,062-960-8712,2021-07-16,3630000,광주광역시 광산구
43740-00010,노근리평화공원,역사공원,충청북도 영동군 황간면 목화실길 7,충청북도 영동군 황간면 노근리 683-3,36.2134369,127.8805572,132240,,,"화장실,주차장","평화기념관(영상관, 전시관), 위령탑","교육관(식당,대회의실, 조정실,통역실,숙박시설, 정보검색실, 휴게실), 야외운동기구, 방문자센터",2007-08-31,충청북도 영동군청,043-740-3346,2021-10-20,4440000,충청북도 영동군
43740-00011,주곡산단,근린공원,충청북도 영동군 영동읍 주곡리 산4-3,충청북도 영동군 영동읍 주곡리 산4-3,36.1682576,127.8228402,13416,,,,,,2009-04-21,충청북도 영동군청,043-740-3346,2021-10-20,4440000,충청북도 영동군
43740-00012,1호 근린공원,근린공원,충청북도 영동군 용산면 미전리 산50,충청북도 영동군 용산면 미전리 산50,36.2944221,127.8117405,73571,,,,,,2009-05-01,충청북도 영동군청,043-740-3346,2021-10-20,4440000,충청북도 영동군
43740-00013,2호 소공원,소공원,충청북도 영동군 용산면 매금리 산75-17,충청북도 영동군 용산면 매금리 산75-17,36.2887085,127.8137302,1553,,,,,,2009-05-01,충청북도 영동군청,043-740-3346,2021-10-20,4440000,충청북도 영동군
43740-00014,3호 근린공원,근린공원,충청북도 영동군 용산면 미전리 산51-3,충청북도 영동군 용산면 미전리 산51-3,36.2948074,127.8149093,12601,,,,,,2009-05-01,충청북도 영동군청,043-740-3346,2021-10-20,4440000,충청북도 영동군
43740-00015,4호 소공원,소공원,충청북도 영동군 용산면 한곡리 13,충청북도 영동군 용산면 한곡리 13,36.289637,127.8098772,1800,,,,,,2009-05-01,충청북도 영동군청,043-740-3346,2021-10-20,4440000,충청북도 영동군
43740-00016,동정어린이집,어린이공원,충청북도 영동군 영동읍 동정리 93-7,충청북도 영동군 영동읍 동정리 93-7,36.17337272,127.7872137,1600,,,,,,2010-12-31,충청북도 영동군청,043-740-3346,2021-10-20,4440000,충청북도 영동군
46800-00001,예양공원,근린공원,전라남도 장흥군 장흥읍 읍성로 96,전라남도 장흥군 장흥읍 남외리 산10-8,34.67667645,126.8982389,196469,"체력단련장,국궁장,게이트볼장,배드민턴장, 다목적운동장, 테니스장",어린이놀이터,"주차장, 화장실",문예회관,"충혼탑, 관망탑, 전망대",1968-05-15,전라남도 장흥군,061-860-0229,2021-10-08,4910000,전라남도 장흥군
11380-00073,불광위령탑마을마당,기타공원,,서울특별시 은평구 불광1 247-4,37.6136200000,126.9297770000,940.00,,,,,,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000,서울특별시 은평구
